Label,Start date,End date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy
LS8-20180304-20180405,20180304,20180405,32,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180304_20200902_02_T1_X_LC08_L1TP_061018_20180405_20200901_02_T1_G0120V02_P068.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180304_20200902_02_T1_X_LC08_L1TP_061018_20180405_20200901_02_T1_G0120V02_P068.nc_vy.tif
LS8-20180405-20180421,20180405,20180421,16,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180405_20200901_02_T1_X_LC08_L1TP_061018_20180421_20200901_02_T1_G0120V02_P049.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180405_20200901_02_T1_X_LC08_L1TP_061018_20180421_20200901_02_T1_G0120V02_P049.nc_vy.tif
LS8-20180421-20180523,20180421,20180523,32,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180421_20200901_02_T1_X_LC08_L1TP_061018_20180523_20200901_02_T1_G0120V02_P023.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180421_20200901_02_T1_X_LC08_L1TP_061018_20180523_20200901_02_T1_G0120V02_P023.nc_vy.tif
LS8-20180523-20180608,20180523,20180608,16,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180523_20200901_02_T1_X_LC08_L1TP_061018_20180608_20200831_02_T1_G0120V02_P039.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180523_20200901_02_T1_X_LC08_L1TP_061018_20180608_20200831_02_T1_G0120V02_P039.nc_vy.tif
LS8-20180412-20180428,20180412,20180428,16,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180412_20200901_02_T1_X_LC08_L1TP_062017_20180428_20200901_02_T1_G0120V02_P091.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180412_20200901_02_T1_X_LC08_L1TP_062017_20180428_20200901_02_T1_G0120V02_P091.nc_vy.tif
LS8-20180428-20180802,20180428,20180802,96,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180428_20200901_02_T1_X_LC08_L1TP_062017_20180802_20200831_02_T1_G0120V02_P020.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180428_20200901_02_T1_X_LC08_L1TP_062017_20180802_20200831_02_T1_G0120V02_P020.nc_vy.tif
LS8-20180802-20180818,20180802,20180818,16,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180802_20200831_02_T1_X_LC08_L1TP_062017_20180818_20200831_02_T1_G0120V02_P055.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180802_20200831_02_T1_X_LC08_L1TP_062017_20180818_20200831_02_T1_G0120V02_P055.nc_vy.tif
LS8-20180818-20180903,20180818,20180903,16,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180818_20200831_02_T1_X_LC08_L1TP_062017_20180903_20200831_02_T1_G0120V02_P080.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180818_20200831_02_T1_X_LC08_L1TP_062017_20180903_20200831_02_T1_G0120V02_P080.nc_vy.tif
LS8-20180903-20181005,20180903,20181005,32,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180903_20200831_02_T1_X_LC08_L1TP_062017_20181005_20200830_02_T1_G0120V02_P061.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180903_20200831_02_T1_X_LC08_L1TP_062017_20181005_20200830_02_T1_G0120V02_P061.nc_vy.tif
Sen2-20180306-20180316,20180306,20180316,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180306_0_L1C_X_S2A_7VFH_20180316_0_L1C_G0120V02_P091.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180306_0_L1C_X_S2A_7VFH_20180316_0_L1C_G0120V02_P091.nc_vy.tif
