Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy,OIE-x,OIE-y,OI-peak-x,OI-peak-y,slope_max-normal-E,slope_min-shear-E,E_ratio,pt0_velodiff,pt1_velodiff,pt2_velodiff
Sen2-20180304-20180314,48,12,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_Gau/20180304-20180314_velo-raw_vy.tif,0.5234375,0.546875,-0.0703125,0.1953125,0.07121240778955427,0.1476625221583858,0.4822646041029315,0.0707952382398021,-0.024048677120059092,0.9331177922963151
Sen2-20180304-20180314,48,12,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_NAOF/20180304-20180314_velo-raw_vy.tif,0.421875,0.4296875,-0.0625,0.1640625,0.057825730765264476,0.10187571345771824,0.5676105599914552,-0.079942040532759,-0.0018444694062229594,
Sen2-20180304-20180314,48,12,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_None/20180304-20180314_velo-raw_vy.tif,0.82421875,0.92578125,-0.0416666679084301,0.1354166716337204,0.08011465048394165,0.1586928351360657,0.5048410056777303,-0.2134502279587496,-0.18126746448894213,4.574336387556573
Sen2-20180304-20180314,48,1,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_Gau/20180304-20180314_velo-raw_vy.tif,0.59375,0.578125,-0.0625,0.1875,0.06251839827098954,0.12021969630375705,0.5200345716481047,-0.0006168902075934235,-0.03397063946564194,0.9228791304672247
Sen2-20180304-20180314,48,1,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_NAOF/20180304-20180314_velo-raw_vy.tif,0.40625,0.46875,-0.0625,0.15625,0.03541088154443304,0.0732625344368767,0.48334229516647687,-0.126817040532759,-0.004174591702972796,7.474734070107358
Sen2-20180304-20180314,48,1,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_None/20180304-20180314_velo-raw_vy.tif,2.4375,2.4375,-0.03125,0.125,0.08627514722518284,0.15771098844453674,0.5470458848561702,-0.17007413097451185,-0.2015871193058756,4.578727489858913
Sen2-20180304-20180314,48,4,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_Gau/20180304-20180314_velo-raw_vy.tif,0.515625,0.546875,-0.0625,0.1875,0.05651171383606039,0.11926603365132446,0.47382907023866494,0.042626868900239645,-0.03397063946564194,0.9034049039771402
Sen2-20180304-20180314,48,4,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_NAOF/20180304-20180314_velo-raw_vy.tif,0.4375,0.421875,-0.0625,0.15625,0.0378874882431141,0.07214452302357807,0.5251609776494304,-0.126817040532759,0.006138630339478979,5.573964187695522
Sen2-20180304-20180314,48,4,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_None/20180304-20180314_velo-raw_vy.tif,2.4375,2.421875,-0.03125,0.125,0.07713874334679437,0.1516108982693283,0.5087941845035552,-0.17007413097451185,-0.2015871193058756,4.578727489858913
Sen2-20180304-20180314,64,12,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip64_skip12_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip64_skip12_Gau/20180304-20180314_velo-raw_vy.tif,0.38671875,0.390625,-0.0703125,0.1953125,0.07039591869091952,0.1817939052702695,0.3872292560427879,0.026352921169048638,-0.016667207168564957,0.8143289223389897
